"Pieza";"Tipo";"Perfil";"Longitud_m";"Masa_kg";"Alcance"
"P-1-14";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-15";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-1-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-1-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-1-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-1-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-1-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-1-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-1-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-1-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-1";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-2";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-3";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-4";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-5";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-6";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-7";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-8";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-9";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-10";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-11";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-12";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-13";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-14";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-2-15";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-2-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-2-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-2-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-2-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-2-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-2-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-2-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-2-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-1";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-2";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-3";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-4";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-5";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-6";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-7";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-8";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-9";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-10";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-11";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-12";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-13";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-14";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-3-15";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-3-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-3-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-3-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-3-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-3-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-3-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-3-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-3-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-1";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-2";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-3";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-4";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-5";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-6";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-7";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-8";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-9";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-10";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-11";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-12";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-13";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-14";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-4-15";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-4-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-4-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-4-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-4-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-4-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-4-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-4-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-4-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-1";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-2";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-3";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-4";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-5";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-6";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-7";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-8";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-9";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-10";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-11";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-12";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-13";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-14";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-5-15";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-5-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-5-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-5-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-L-5-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-5-1";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-5-2";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-5-3";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"G-R-5-4";"girt";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
